"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1071","O88544","ENSMUSG00000035297","1071.1.1","COPS4","ENSG00000138663","COP9 signalosome subunit 4 [Source:HGNC Symbol;Acc:HGNC:16702]"
"1072","P47963","ENSMUSG00000000740","1072.1.1","RPL13","ENSG00000167526","ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]"
"1073","P63168","ENSMUSG00000009013","1073.1.1","DYNLL1","ENSG00000088986","dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]"
"1074","P70336","N/A","1074.1.1","N/A","N/A","N/A"
"1075","Q3UGF1","ENSMUSG00000037890","1075.1.1","WDR19","ENSG00000157796","WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]"
"1076","Q61074","ENSMUSG00000029147","1076.1.1","PPM1G","ENSG00000115241","protein phosphatase, Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]"
"1077","Q80U87","ENSMUSG00000027363","1077.1.1","USP8","ENSG00000138592","ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631]"
"1078","Q9CZ28","ENSMUSG00000006058","1078.1.1","SNF8","ENSG00000159210","SNF8 subunit of ESCRT-II [Source:HGNC Symbol;Acc:HGNC:17028]"
"1079","Q9EPU4","ENSMUSG00000034022","1079.1.1","CPSF1","ENSG00000071894","cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]"
"1080","Q9Z1Q9","ENSMUSG00000007029","1080.1.1","VARS1","ENSG00000204394","valyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12651]"
"1081","E9Q6J5","ENSMUSG00000061755","1081.1.1","BOD1L1","ENSG00000038219","biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]"
"1082","O09061","ENSMUSG00000014769","1082.1.1","PSMB1","ENSG00000008018","proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]"
"1083","O35841","ENSMUSG00000027193","1083.1.1","API5","ENSG00000166181","apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594]"
"1084","O88448","N/A","1084.1.1","N/A","N/A","N/A"
"1085","O88708","ENSMUSG00000026761","1085.1.1","ORC4","ENSG00000115947","origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]"
"1086","P07356","ENSMUSG00000032231","1086.1.1","ANXA2","ENSG00000182718","annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]"
"1087","P27773","ENSMUSG00000027248","1087.1.1","PDIA3","ENSG00000167004","protein disulfide isomerase family A member 3 [Source:HGNC Symbol;Acc:HGNC:4606]"
"1088","P62137","ENSMUSG00000040385","1088.1.1","PPP1CA","ENSG00000172531","protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]"
"1089","P97477","ENSMUSG00000027496","1089.1.1","AURKA","ENSG00000087586","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]"
"1090","P97863","ENSMUSG00000008575","1090.1.1","NFIB","ENSG00000147862","nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]"
"1091","Q4U2R1","ENSMUSG00000030451","1091.1.1","HERC2","ENSG00000128731","HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]"
"1092","Q5SYD0","ENSMUSG00000035441","1092.1.1","MYO1D","ENSG00000176658","myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]"
"1093","Q61210-5","ENSMUSG00000040940","1093.1.1","ARHGEF1","ENSG00000076928","Rho guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:681]"
"1094","Q62074","ENSMUSG00000037643","1094.1.1","PRKCI","ENSG00000163558","protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]"
"1095","Q7TT37","ENSMUSG00000028431","1095.1.1","ELP1","ENSG00000070061","elongator acetyltransferase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:5959]"
"1096","Q811L6","ENSMUSG00000034751","1096.1.1","MAST4","ENSG00000069020","microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]"
"1097","Q8BYJ6","N/A","1097.1.1","N/A","N/A","N/A"
"1098","Q8CI75-2","ENSMUSG00000053333","1098.1.1","DIS3L2","ENSG00000144535","DIS3 like 3'-5' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:28648]"
"1099","Q8K202","ENSMUSG00000028318","1099.1.1","POLR1E","ENSG00000137054","RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631]"
"1100","Q8K482","ENSMUSG00000024053","1100.1.1","EMILIN2","ENSG00000132205","elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]"
"1101","Q8K4L0","ENSMUSG00000029599","1101.1.1","DDX54","ENSG00000123064","DEAD-box helicase 54 [Source:HGNC Symbol;Acc:HGNC:20084]"
"1102","Q91XU3","ENSMUSG00000025417","1102.1.1","PIP4K2C","ENSG00000166908","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]"
"1103","Q9CXE0","ENSMUSG00000029913","1103.1.1","PRDM5","ENSG00000138738","PR/SET domain 5 [Source:HGNC Symbol;Acc:HGNC:9349]"
"1104","Q9D1P4","ENSMUSG00000001774","1104.1.1","CHORDC1","ENSG00000110172","cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]"
"1105","D3Z7P3-2","ENSMUSG00000026103","1105.1.1","GLS","ENSG00000115419","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]"
"1106","Q5NCY0","ENSMUSG00000018476","1106.1.1","KDM6B","ENSG00000132510","lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]"
"1107","Q61655","ENSMUSG00000015023","1107.1.1","DDX19A","ENSG00000168872","DEAD-box helicase 19A [Source:HGNC Symbol;Acc:HGNC:25628]"
"1108","Q64514-2","ENSMUSG00000041763","1108.1.1","TPP2","ENSG00000134900","tripeptidyl peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12016]"
"1109","Q8BGZ2","ENSMUSG00000029461","1109.1.1","FAM168A","ENSG00000054965","family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]"
"1110","P06869","ENSMUSG00000021822","1110.1.1","PLAU","ENSG00000122861","plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]"
"1111","P17427","ENSMUSG00000002957","1111.1.1","AP2A2","ENSG00000183020","adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]"
"1112","P83741","ENSMUSG00000045962","1112.1.1","WNK1","ENSG00000060237","WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]"
"1113","Q6P1B1","ENSMUSG00000025027","1113.1.1","XPNPEP1","ENSG00000108039","X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]"
"1114","Q8BVE8","ENSMUSG00000057406","1114.1.1","NSD2","ENSG00000109685","nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]"
"1115","Q8CBY8-2","ENSMUSG00000024603","1115.1.1","DCTN4","ENSG00000132912","dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]"
"1116","Q8CH25","ENSMUSG00000032212","1116.1.1","SLTM","ENSG00000137776","SAFB like transcription modulator [Source:HGNC Symbol;Acc:HGNC:20709]"
"1117","Q99KK2","N/A","1117.1.1","N/A","N/A","N/A"
"1118","Q9D0Q7","ENSMUSG00000018882","1118.1.1","MRPL45","ENSG00000278845","mitochondrial ribosomal protein L45 [Source:HGNC Symbol;Acc:HGNC:16651]"
"1119","Q9Z0H1","ENSMUSG00000024312","1119.1.1","WDR46","ENSG00000227057","WD repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:13923]"
"1120","P05201","ENSMUSG00000025190","1120.1.1","GOT1","ENSG00000120053","glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]"
"1121","Q60597","ENSMUSG00000020456","1121.1.1","OGDH","ENSG00000105953","oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]"
"1122","Q80X85","ENSMUSG00000046756","1122.1.1","MRPS7","ENSG00000125445","mitochondrial ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:14499]"
"1123","Q8BH04","ENSMUSG00000040618","1123.1.1","PCK2","ENSG00000100889","phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]"
"1124","Q921X9","ENSMUSG00000022844","1124.1.1","PDIA5","ENSG00000065485","protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]"
"1125","Q9JHW4","ENSMUSG00000033216","1125.1.1","EEFSEC","ENSG00000132394","eukaryotic elongation factor, selenocysteine-tRNA specific [Source:HGNC Symbol;Acc:HGNC:24614]"
"1126","P58544","ENSMUSG00000025103","1126.1.1","BTBD1","ENSG00000064726","BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1120]"
"1127","Q03958","ENSMUSG00000024309","1127.1.1","PFDN6","ENSG00000204220","prefoldin subunit 6 [Source:HGNC Symbol;Acc:HGNC:4926]"
"1128","Q91YR1","ENSMUSG00000022451","1128.1.1","TWF1","ENSG00000151239","twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]"
"1129","Q921U8","ENSMUSG00000020439","1129.1.1","SMTN","ENSG00000183963","smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]"
"1130","Q9R0E1","ENSMUSG00000004846","1130.1.1","PLOD3","ENSG00000106397","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]"
"1131","O35144","ENSMUSG00000031921","1131.1.1","TERF2","ENSG00000132604","telomeric repeat binding factor 2 [Source:HGNC Symbol;Acc:HGNC:11729]"
"1132","O70405","N/A","1132.1.1","N/A","N/A","N/A"
"1133","Q80UV9","ENSMUSG00000031314","1133.1.1","TAF1L","ENSG00000122728","TATA-box binding protein associated factor 1 like [Source:HGNC Symbol;Acc:HGNC:18056]"
"1133","Q80UV9","ENSMUSG00000031314","1133.1.2","TAF1","ENSG00000147133","TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:11535]"
"1134","Q8K3A9","ENSMUSG00000029726","1134.1.1","MEPCE","ENSG00000146834","methylphosphate capping enzyme [Source:HGNC Symbol;Acc:HGNC:20247]"
"1134","Q8K3A9","ENSMUSG00000029726","1134.1.2","","ENSG00000289690","novel transcript"
"1135","Q9D2M8","ENSMUSG00000022674","1135.1.1","UBE2V2","ENSG00000169139","ubiquitin conjugating enzyme E2 V2 [Source:HGNC Symbol;Acc:HGNC:12495]"
"1136","Q9JLV1","ENSMUSG00000030847","1136.1.1","BAG3","ENSG00000151929","BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]"
"1137","Q9QXN3","ENSMUSG00000032386","1137.1.1","TRIP4","ENSG00000103671","thyroid hormone receptor interactor 4 [Source:HGNC Symbol;Acc:HGNC:12310]"
"1138","Q8CB77","ENSMUSG00000028668","1138.1.1","ELOA","ENSG00000011007","elongin A [Source:HGNC Symbol;Acc:HGNC:11620]"
"1139","Q8R1S4","N/A","1139.1.1","N/A","N/A","N/A"
"1140","E9QAM5","ENSMUSG00000027580","1140.1.1","HELZ2","ENSG00000130589","helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]"
"1141","F8VPU2","ENSMUSG00000025555","1141.1.1","FARP1","ENSG00000152767","FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]"
"1142","Q80V62","ENSMUSG00000034023","1142.1.1","FANCD2","ENSG00000144554","FA complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]"
"1143","Q8BFV2","ENSMUSG00000038542","1143.1.1","PCID2","ENSG00000126226","PCI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25653]"
"1144","A2AIV2","ENSMUSG00000040720","1144.1.1","VIRMA","ENSG00000164944","vir like m6A methyltransferase associated [Source:HGNC Symbol;Acc:HGNC:24500]"
"1145","P63085","ENSMUSG00000063358","1145.1.1","MAPK1","ENSG00000100030","mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]"
"1146","Q8VC70","ENSMUSG00000040043","1146.1.1","RBMS2","ENSG00000076067","RNA binding motif single stranded interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9909]"
"1147","Q9DBF7","ENSMUSG00000018541","1147.1.1","CWC25","ENSG00000273559","CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989]"
"1148","Q9JM13","ENSMUSG00000025340","1148.1.1","RABGEF1","ENSG00000154710","RAB guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:17676]"
"1148","Q9JM13","ENSMUSG00000025340","1148.1.2","","ENSG00000284461","novel transcript"
"1149","O35492","ENSMUSG00000032316","1149.1.1","CLK3","ENSG00000179335","CDC like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2071]"
"1150","P47856","ENSMUSG00000029992","1150.1.1","GFPT1","ENSG00000198380","glutamine--fructose-6-phosphate transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4241]"
"1151","P56183","ENSMUSG00000061032","1151.1.1","RRP1","ENSG00000160214","ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]"
"1152","Q04750","ENSMUSG00000070544","1152.1.1","TOP1","ENSG00000198900","DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]"
"1153","Q62376","ENSMUSG00000063511","1153.1.1","SNRNP70","ENSG00000104852","small nuclear ribonucleoprotein U1 subunit 70 [Source:HGNC Symbol;Acc:HGNC:11150]"
"1154","Q7TPM1","ENSMUSG00000039262","1154.1.1","PRRC2B","ENSG00000288701","proline rich coiled-coil 2B [Source:HGNC Symbol;Acc:HGNC:28121]"
"1155","Q8CFE3","ENSMUSG00000037896","1155.1.1","RCOR1","ENSG00000089902","REST corepressor 1 [Source:HGNC Symbol;Acc:HGNC:17441]"
"1156","Q8K2B3","ENSMUSG00000021577","1156.1.1","SDHA","ENSG00000073578","succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]"
"1156","Q8K2B3","ENSMUSG00000021577","1156.1.2","","ENSG00000286001","novel protein"
"1157","Q8R5H1","ENSMUSG00000020124","1157.1.1","USP15","ENSG00000135655","ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]"
"1158","Q8VD66","ENSMUSG00000040997","1158.1.1","ABHD4","ENSG00000100439","abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]"
"1159","Q8VI84","ENSMUSG00000024999","1159.1.1","NOC3L","ENSG00000173145","NOC3 like DNA replication regulator [Source:HGNC Symbol;Acc:HGNC:24034]"
"1160","Q921N8","ENSMUSG00000023170","1160.1.1","GPS2","ENSG00000132522","G protein pathway suppressor 2 [Source:HGNC Symbol;Acc:HGNC:4550]"
"1161","Q922S8","ENSMUSG00000028678","1161.1.1","KIF2C","ENSG00000142945","kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]"
"1162","Q9D154","ENSMUSG00000044734","1162.1.1","SERPINB1","ENSG00000021355","serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]"
"1163","Q9Z110","ENSMUSG00000025007","1163.1.1","ALDH18A1","ENSG00000059573","aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]"
"1164","Q9Z129","ENSMUSG00000030243","1164.1.1","RECQL","ENSG00000004700","RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]"
"1165","P08556","N/A","1165.1.1","N/A","N/A","N/A"
"1166","P41105","ENSMUSG00000030432","1166.1.1","RPL28","ENSG00000108107","ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]"
"1167","P62754","ENSMUSG00000028495","1167.1.1","RPS6","ENSG00000137154","ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]"
"1168","Q9WUM3","ENSMUSG00000024835","1168.1.1","CORO1B","ENSG00000172725","coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]"
"1169","O35326","ENSMUSG00000021134","1169.1.1","SRSF5","ENSG00000100650","serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]"
"1170","O88874","N/A","1170.1.1","N/A","N/A","N/A"
"1171","P46061","ENSMUSG00000022391","1171.1.1","RANGAP1","ENSG00000100401","Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]"
"1172","P62627","ENSMUSG00000047459","1172.1.1","DYNLRB1","ENSG00000125971","dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468]"
"1173","P97357","ENSMUSG00000072258","1173.1.1","TAF1A","ENSG00000143498","TATA-box binding protein associated factor, RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:11532]"
"1174","Q63844","ENSMUSG00000063065","1174.1.1","MAPK3","ENSG00000102882","mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]"
"1175","Q6PGH1","ENSMUSG00000038722","1175.1.1","BUD31","ENSG00000106245","BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]"
"1176","Q8K2F8","ENSMUSG00000066568","1176.1.1","LSM14A","ENSG00000257103","LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]"
"1177","Q9R0L6","ENSMUSG00000031592","1177.1.1","PCM1","ENSG00000078674","pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]"
"1178","O70251","ENSMUSG00000025967","1178.1.1","EEF1B2","ENSG00000114942","eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]"
"1179","Q61554","ENSMUSG00000027204","1179.1.1","FBN1","ENSG00000166147","fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]"
"1180","O54781","N/A","1180.1.1","N/A","N/A","N/A"
"1181","P04627","ENSMUSG00000001127","1181.1.1","ARAF","ENSG00000078061","A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]"
"1182","P17742","ENSMUSG00000071866","1182.1.1","PPIA","ENSG00000196262","peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]"
"1183","P29416","ENSMUSG00000025232","1183.1.1","HEXA","ENSG00000213614","hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]"
"1183","P29416","ENSMUSG00000025232","1183.1.2","","ENSG00000260729","novel protein"
"1184","P45481","N/A","1184.1.1","N/A","N/A","N/A"
"1185","Q61235","ENSMUSG00000041308","1185.1.1","SNTB2","ENSG00000168807","syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169]"
"1186","Q6PFR5","N/A","1186.1.1","N/A","N/A","N/A"
"1187","Q8BMS4","ENSMUSG00000028247","1187.1.1","COQ3","ENSG00000132423","coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]"
"1188","Q8VDS7-2","N/A","1188.1.1","N/A","N/A","N/A"
"1189","Q9DBE9","ENSMUSG00000020706","1189.1.1","FTSJ3","ENSG00000108592","FtsJ RNA 2'-O-methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17136]"
"1190","Q9R0B9","ENSMUSG00000032374","1190.1.1","PLOD2","ENSG00000152952","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]"
"1191","B2RUR8","ENSMUSG00000038495","1191.1.1","OTUD7B","ENSG00000264522","OTU deubiquitinase 7B [Source:HGNC Symbol;Acc:HGNC:16683]"
"1192","E9PVX6","ENSMUSG00000031004","1192.1.1","MKI67","ENSG00000148773","marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]"
"1193","O08808","ENSMUSG00000024456","1193.1.1","DIAPH1","ENSG00000131504","diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]"
"1194","O55187","ENSMUSG00000039989","1194.1.1","CBX4","ENSG00000141582","chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]"
"1195","O70566","ENSMUSG00000034480","1195.1.1","DIAPH2","ENSG00000147202","diaphanous related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]"
"1196","O88852","ENSMUSG00000047514","1196.1.1","TSPYL1","ENSG00000189241","TSPY like 1 [Source:HGNC Symbol;Acc:HGNC:12382]"
"1197","O88939","ENSMUSG00000035011","1197.1.1","ZBTB7A","ENSG00000178951","zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]"
"1198","P09055","ENSMUSG00000025809","1198.1.1","ITGB1","ENSG00000150093","integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]"
"1199","P14131","ENSMUSG00000037563","1199.1.1","RPS16","ENSG00000105193","ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]"
"1200","P26039","ENSMUSG00000028465","1200.1.1","TLN1","ENSG00000137076","talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]"
"1201","P60229","ENSMUSG00000022336","1201.1.1","EIF3E","ENSG00000104408","eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]"
"1202","P62889","ENSMUSG00000058600","1202.1.1","RPL30","ENSG00000156482","ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]"
"1203","P70175","ENSMUSG00000000881","1203.1.1","DLG3","ENSG00000082458","discs large MAGUK scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:2902]"
"1204","P97352","ENSMUSG00000042312","1204.1.1","S100A13","ENSG00000189171","S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]"
"1205","P97499","ENSMUSG00000006281","1205.1.1","TEP1","ENSG00000129566","telomerase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:11726]"
"1206","Q60865","ENSMUSG00000027184","1206.1.1","CAPRIN1","ENSG00000135387","cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]"
"1207","Q61510","ENSMUSG00000000275","1207.1.1","TRIM25","ENSG00000121060","tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]"
"1208","Q61805","ENSMUSG00000016024","1208.1.1","LBP","ENSG00000129988","lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]"
"1209","Q68FF6","ENSMUSG00000011877","1209.1.1","GIT1","ENSG00000108262","GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]"
"1210","Q6DID3","ENSMUSG00000046201","1210.1.1","SCAF8","ENSG00000213079","SR-related CTD associated factor 8 [Source:HGNC Symbol;Acc:HGNC:20959]"
"1211","Q6P9Q6","ENSMUSG00000066151","1211.1.1","FKBP15","ENSG00000119321","FKBP prolyl isomerase family member 15 [Source:HGNC Symbol;Acc:HGNC:23397]"
"1212","Q6PNC0","ENSMUSG00000037416","1212.1.1","DMXL1","ENSG00000172869","Dmx like 1 [Source:HGNC Symbol;Acc:HGNC:2937]"
"1213","Q6RI63","ENSMUSG00000014763","1213.1.1","FAM120B","ENSG00000112584","family with sequence similarity 120B [Source:HGNC Symbol;Acc:HGNC:21109]"
"1214","Q791N7","ENSMUSG00000036315","1214.1.1","POLR1H","ENSG00000066379","RNA polymerase I subunit H [Source:HGNC Symbol;Acc:HGNC:13182]"
"1215","Q7TMY8","ENSMUSG00000025261","1215.1.1","HUWE1","ENSG00000086758","HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]"
"1216","Q80YS6","ENSMUSG00000029094","1216.1.1","AFAP1","ENSG00000196526","actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]"
"1217","Q8BGF3","ENSMUSG00000078970","1217.1.1","DNAAF10","ENSG00000243667","dynein axonemal assembly factor 10 [Source:HGNC Symbol;Acc:HGNC:25176]"
"1218","Q8C804","ENSMUSG00000043065","1218.1.1","SPICE1","ENSG00000163611","spindle and centriole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:25083]"
"1218","Q8C804","ENSMUSG00000043065","1218.1.2","","ENSG00000285943","novel protein"
"1219","Q8K2A1","ENSMUSG00000056870","1219.1.1","GULP1","ENSG00000144366","GULP PTB domain containing engulfment adaptor 1 [Source:HGNC Symbol;Acc:HGNC:18649]"
"1220","Q8K2B0","ENSMUSG00000006931","1220.1.1","P3H4","ENSG00000141696","prolyl 3-hydroxylase family member 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:16946]"
"1221","Q8K2Z4","N/A","1221.1.1","N/A","N/A","N/A"
"1222","Q8R1A4","N/A","1222.1.1","N/A","N/A","N/A"
"1223","Q99K51","ENSMUSG00000016382","1223.1.1","PLS3","ENSG00000102024","plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]"
"1224","Q9CQV6","ENSMUSG00000031812","1224.1.1","N/A","N/A","N/A"
"1225","Q9CR59","ENSMUSG00000033751","1225.1.1","GADD45GIP1","ENSG00000179271","GADD45G interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29996]"
"1226","Q9CYZ6","ENSMUSG00000058833","1226.1.1","REX1BD","ENSG00000006015","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]"
"1227","Q9DBC3","ENSMUSG00000024019","1227.1.1","CMTR1","ENSG00000137200","cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]"
"1228","Q9JKW0","ENSMUSG00000030654","1228.1.1","ARL6IP1","ENSG00000170540","ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]"
"1229","Q9QY36","ENSMUSG00000031388","1229.1.1","NAA10","ENSG00000102030","N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]"
"1230","Q9WV03","ENSMUSG00000001962","1230.1.1","N/A","N/A","N/A"
"1231","E9Q7G0","ENSMUSG00000066306","1231.1.1","NUMA1","ENSG00000137497","nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]"
"1232","O35218","ENSMUSG00000041781","1232.1.1","CPSF2","ENSG00000165934","cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325]"
"1233","O55201","ENSMUSG00000003435","1233.1.1","SUPT5H","ENSG00000196235","SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]"
"1234","P14602","ENSMUSG00000004951","1234.1.1","HSPB1","ENSG00000106211","heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]"
"1235","Q05A80","ENSMUSG00000030309","1235.1.1","CAPRIN2","ENSG00000110888","caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259]"
"1236","Q61188","ENSMUSG00000029687","1236.1.1","EZH2","ENSG00000106462","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]"
"1237","Q6DFV3","N/A","1237.1.1","N/A","N/A","N/A"
"1238","Q8BFY7","ENSMUSG00000020808","1238.1.1","PIMREG","ENSG00000129195","PICALM interacting mitotic regulator [Source:HGNC Symbol;Acc:HGNC:25483]"
"1239","Q8BVF2","ENSMUSG00000026078","1239.1.1","PDCL3","ENSG00000115539","phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]"
